dt,WS,WD,Month,hours,dayofyear,target
2018-01-06 06:00:00,8.57320618629455,61.71780776977536,1,6,6,1621.9821573893198
2018-01-06 07:00:00,7.487623055775956,59.16014862060541,1,7,6,1175.1118672688772
2018-01-06 08:00:00,7.47905294100443,57.61772092183426,1,8,6,1209.008300781247
2018-01-06 09:00:00,7.275008519490555,49.91146341959632,1,9,6,1172.390136718747
2018-01-06 10:00:00,6.85771520932515,29.28764788309728,1,10,6,954.0808614095046
2018-01-06 11:00:00,6.301450729370113,30.56229337056473,1,11,6,720.2625935872389
2018-01-06 12:00:00,6.348799626032506,27.08037122090653,1,12,6,667.2624206542963
2018-01-06 13:00:00,7.312803506851192,28.614959716796815,1,13,6,1106.795155843097
2018-01-06 14:00:00,9.424105644226067,31.0923020044962,1,14,6,2037.2723388671864
2018-01-06 15:00:00,10.13640594482419,36.66918309529618,1,15,6,2396.65588378906
2018-01-06 16:00:00,9.731396834055564,51.18880335489903,1,16,6,2190.2174886067683
2018-01-06 17:00:00,12.593815008799185,62.01118214925126,1,17,6,3343.783365885413
2018-01-06 18:00:00,13.24927838643385,56.74086443583167,1,18,6,3560.9253336588536
2018-01-06 19:00:00,13.349719842274917,60.819553375244105,1,19,6,3540.770060221352
2018-01-06 20:00:00,13.035616556803332,69.12281417846677,1,20,6,3580.154541015623
2018-01-06 21:00:00,10.546167294184349,61.87672742207841,1,21,6,2554.925659179685
2018-01-06 22:00:00,8.918570836385085,55.86608950297033,1,22,6,1756.5619913736934
2018-01-06 23:00:00,8.134750525156653,56.00702158610023,1,23,6,1326.3753153483017
2018-01-07 00:00:00,8.12746397654215,244.99076843261685,1,0,7,1441.6299845377569
2018-01-07 01:00:00,8.348012288411452,245.68278503417932,1,1,7,1518.077840169265
2018-01-07 02:00:00,7.547461509704585,239.654980977376,1,2,7,1108.0603637695287
2018-01-07 03:00:00,6.864036639531449,240.31240081787035,1,3,7,816.7307637532549
2018-01-07 04:00:00,6.653759479522701,249.55695088704385,1,4,7,719.0466156005856
2018-01-07 05:00:00,3.390911857287083,251.78801727294885,1,5,7,59.530202865600586
2018-01-07 06:00:00,2.209059298038477,298.377349853515,1,6,7,0.0
2018-01-07 07:00:00,2.5451665321985835,330.1484120686845,1,7,7,0.0
2018-01-07 08:00:00,2.41272018353144,177.87764159838352,1,8,7,0.0
2018-01-07 09:00:00,2.3455371459325103,238.9115726153054,1,9,7,0.0
2018-01-07 10:00:00,3.24155513445536,19.088758309682166,1,10,7,14.086864630381244
2018-01-07 11:00:00,3.0255144834518384,18.370778242746947,1,11,7,19.68363071357208
2018-01-07 12:00:00,3.275566021601355,20.855488141377734,1,12,7,19.39782897631325
2018-01-07 13:00:00,3.730964183807368,20.686483542124385,1,13,7,76.99531078338605
2018-01-07 14:00:00,4.548361063003536,26.00609143575028,1,14,7,191.3479487101232
2018-01-07 15:00:00,4.200707912445064,40.01458803812656,1,15,7,140.3993466695146
2018-01-07 16:00:00,6.784925460815424,65.61295445760088,1,16,7,753.9062093098952
2018-01-07 17:00:00,6.671699682871496,69.83062362670893,1,17,7,668.0811106363927
2018-01-07 18:00:00,5.771017471949254,50.87030537923173,1,18,7,405.68441772460886
2018-01-07 19:00:00,4.725754141807552,47.35775756835932,1,19,7,213.750635782877
2018-01-07 20:00:00,4.917639176050817,45.63212903340652,1,20,7,232.71928151448532
2018-01-07 21:00:00,5.070539077123001,45.74741617838537,1,21,7,266.1542104085282
2018-01-07 22:00:00,5.818340063095088,43.78060340881342,1,22,7,427.8772633870438
2018-01-07 23:00:00,6.058915615081784,51.93674341837561,1,23,7,495.6467844645176
2018-01-08 00:00:00,7.680820544560745,69.4931653340657,1,0,8,1089.0561726887966
2018-01-08 01:00:00,7.795088370641067,68.60166549682613,1,1,8,1133.2274678548144
