dt,WS,TAP,WD,Month,H,target
2018-11-09 11:00:00,3.656960884730017,879.2666918622958,235.62928644816049,11,11,622.4761853218076
2018-11-09 12:00:00,5.482066432634984,3238.174401510234,60.399931589762325,11,12,2960.1484451293927
2018-11-09 13:00:00,5.570758243401841,4024.286116798862,55.22563743591306,11,13,3577.162787368516
2018-11-09 14:00:00,4.746661305427545,2151.5375984056723,296.8103129069003,11,14,1549.3012008666972
2018-11-09 15:00:00,3.8452596267064383,713.3729733581758,227.20024776458703,11,15,479.0836153030379
2018-11-09 16:00:00,5.661745786666864,3146.959991655727,43.91138776143388,11,16,2506.9725036621057
2018-11-09 17:00:00,5.8287003040313685,3465.1412658295667,37.89580980936683,11,17,2721.972503662106
2018-11-09 18:00:00,6.648736715316768,5366.49486532973,42.61327552795407,11,18,4457.06588745117
2018-11-09 19:00:00,6.071200132369989,3939.749887815326,43.78571828206376,11,19,3334.8013610839816
2018-11-09 20:00:00,5.674209594726558,3124.987441618136,47.8648503621419,11,20,2540.811889648435
2018-11-09 21:00:00,6.114448388417556,4030.403432773894,47.08727137247717,11,21,3369.911895751951
2018-11-09 22:00:00,6.411353826522823,4642.0500699253735,44.94185765584306,11,22,4046.7811889648415
2018-11-09 23:00:00,5.836197614669795,3441.871348223408,46.89634068806962,11,23,2763.830474853513
2018-11-10 00:00:00,10.31787697474158,17576.78812634395,51.28291511535641,11,0,15221.512939453109
2018-11-10 01:00:00,10.08677784601844,16959.35883034144,54.37850379943844,11,1,14513.827148437478
2018-11-10 02:00:00,8.701438903808588,11761.14291863925,52.83053334554032,11,2,10691.39196777342
2018-11-10 03:00:00,8.217796564102168,10035.27004083619,55.673511505126896,11,3,9124.38916015623
2018-11-10 04:00:00,8.600386937459303,11347.43466168055,53.47316360473631,11,4,10192.19995117185
2018-11-10 05:00:00,8.450127840042109,10840.03442301102,49.764081954956,11,5,9723.86901855466
2018-11-10 06:00:00,7.376013278961177,7237.136785492356,50.56543286641435,11,6,6744.911804199202
2018-11-10 07:00:00,6.441230217615758,4723.794758847543,51.29671669006343,11,7,4339.948791503904
2018-11-10 08:00:00,7.116178035736078,6644.369302974919,47.77045631408685,11,8,6512.5705566406095
2018-11-10 09:00:00,9.26207399368286,13876.04421990173,45.8919919331868,11,9,12461.342041015609
2018-11-10 10:00:00,7.712326526641841,8462.223898140746,36.53038565317785,11,10,7904.890319824197
2018-11-10 11:00:00,7.932766437530513,9149.835697728053,29.23635164896644,11,11,8591.321777343723
2018-11-10 12:00:00,8.027680555979405,9498.1557835753,21.050933361053414,11,12,8559.555358886697
2018-11-10 13:00:00,6.476361036300656,4910.500787827209,20.537165323893184,11,13,4555.677642822258
2018-11-10 14:00:00,4.938311020533238,2023.8728600696588,32.91669305165605,11,14,1751.5569992065407
2018-11-10 15:00:00,6.9983316262563,6407.307043728227,35.097500165303494,11,15,6426.100036621083
2018-11-10 16:00:00,6.138310511906937,4084.96568378586,38.742373148600215,11,16,3346.070587158201
2018-11-10 17:00:00,4.391819039980564,1404.4123086398276,26.55657641092933,11,17,1052.7890853881834
2018-11-10 23:00:00,3.9621816873550366,1235.4452880272488,61.86819267272946,11,23,914.3335800170872
2018-11-12 00:00:00,9.393809477488178,14369.560497824252,332.84215799967416,11,0,13724.86901855466
2018-11-12 01:00:00,9.55590105056761,14921.41671155115,318.2070821126297,11,1,13757.999877929658
2018-11-12 02:00:00,9.614930311838782,15200.00158167307,311.8640187581377,11,2,13644.425781249978
