dt,WS,WD,Month,H,dayofyear,target
2018-06-12 15:00:00,15.033368587493868,20.582338333129833,6,15,163,2812.982666015623
2018-06-12 16:00:00,14.911011695861767,20.817385037740017,6,16,163,3084.2853597005164
2018-06-12 17:00:00,13.698021570841417,19.546255429585717,6,17,163,3228.433837890623
2018-06-12 18:00:00,12.243820031483915,20.6616665522257,6,18,163,3438.38362630208
2018-06-12 19:00:00,11.744663397471067,21.070215225219684,6,19,163,3277.658813476562
2018-06-12 20:00:00,9.819828987121554,20.544736862182567,6,20,163,2441.4518229166647
2018-06-12 21:00:00,9.409285863240552,20.128156979878714,6,21,163,2275.532023111975
2018-06-12 22:00:00,9.698663393656394,23.84825515747065,6,22,163,2436.57971191406
2018-06-12 23:00:00,9.704133510589578,25.490560213724734,6,23,163,2386.142822265622
2018-06-13 00:00:00,6.829589366912838,65.42228571573887,6,0,164,758.5771382649737
2018-06-13 01:00:00,7.406913995742792,62.71474393208817,6,1,164,983.014211018879
2018-06-13 02:00:00,7.7918824354807485,61.508326848347934,6,2,164,1092.091359456377
2018-06-13 03:00:00,6.934791167577102,63.66933568318678,6,3,164,759.0183410644528
2018-06-13 04:00:00,7.687587579091385,65.82997258504227,6,4,164,1169.0940144856734
2018-06-13 05:00:00,7.194759130477898,68.27520116170244,6,5,164,874.9016723632808
2018-06-13 06:00:00,6.579934676488237,74.34765116373693,6,6,164,655.5570983886715
2018-06-13 07:00:00,5.140252749125157,73.34757868448888,6,7,164,291.7796147664383
2018-06-13 08:00:00,5.572921832402542,75.2599436442057,6,8,164,397.1221923828122
2018-06-13 09:00:00,4.866099834442135,75.71999486287433,6,9,164,253.26170221964466
2018-06-13 10:00:00,4.116005420684808,64.54896036783852,6,10,164,120.89221318562782
2018-06-13 11:00:00,5.373790184656773,45.23053677876785,6,11,164,374.2682800292962
2018-06-13 12:00:00,5.644699811935421,38.8889484405517,6,12,164,431.0884755452468
2018-06-13 13:00:00,5.353376865386955,40.2379163106282,6,13,164,349.27647908528616
2018-06-13 14:00:00,7.031286954879756,55.69432195027667,6,14,164,899.272989908853
2018-06-13 15:00:00,8.073236783345537,64.02986272176103,6,15,164,1294.3043619791633
2018-06-13 16:00:00,8.288077513376868,68.85829353332515,6,16,164,1379.8859863281232
2018-06-13 17:00:00,6.780327558517452,68.01021893819168,6,17,164,660.1410776774085
2018-06-13 18:00:00,5.063274780909214,67.33229446411129,6,18,164,248.51014200846328
2018-06-13 19:00:00,2.2565913200378365,92.29092152913402,6,19,164,5.655650456746412
